48.06 58.46 79.45 110.61 75.52 72.2 30.73 56.08 65.71 245.42 66.41 49.19 37.97 91.38 43.08 31.2 103.84 1433 8093 1974 2708 13.8407 53.02 42.385 18.595 45.415 23.38 97.5 20.52 54.4
48.1 58.12 78.51 110.28 73.99 71.05 30.59 55.78 65.53 242.2 65.86 48.76 37.95 90.79 42.53 31.01 103.23 1443 8157 1973 2715 13.8062 53.17 42.04 18.825 45.71 23.255 97.411 20.52 54.77
48.1 58.12 78.51 110.28 73.99 71.05 30.59 55.78 65.53 242.2 65.86 48.76 37.95 90.79 42.53 31.01 103.23 1443 8162 1968 2735 13.673 52.61 40.775 18.615 44.95 23.1 96.1 20.5 54.22
48.61 57.15 78.19 110.4 73.84 70.24 30.59 55.11 65.32 245 66.06 48.19 38.08 90.12 42.47 30.9 102.69 1423 8140 1956 2692 13.4462 51.91 39.39 18.54 43.97 23.43 94.377 20.45 54.31
48.47 56.9 78.29 110.27 73.92 70.97 30.13 53.9 66.3 243.14 66.1 48.04 38.01 89.16 42.77 31.1 103.4 1420 8163 1918 2685 13.4117 51.57 39.635 18.315 43.93 23.705 94.41 20.46 54.9
48.6 56.49 78 110.01 73.11 70.48 29.99 53.29 65.46 240.46 65.88 47.34 37.99 88.12 42.25 30.84 102.41 1393 8108 1915 2650 13.106 50.54 38.305 18.3 43.17 23.145 93.001 20.3 54.9
48.44 56.6 78.38 109.59 72.91 70.84 30.09 53.52 65.61 239.78 65.95 47.27 38.42 88.53 41.2 31 103.95 1383 8057 1920 2635 13.3772 50.24 37.485 18.065 43.245 23.145 92.414 20.26 55
48.22 56.82 78.81 109.88 73.63 72.24 29.88 53.52 65.71 241.07 66.2 47.6 38.56 88.51 41.86 31.03 104.43 1392 8099 1909 2688 13.4906 50.66 37.93 18.025 43.16 23.46 93.6 20.43 55.49
48.4 56.66 78.24 110.23 72.59 72.5 30.34 53.3 65.93 243.05 65.56 47.47 38.1 88.56 41.13 31.15 104.35 1399 8139 1922 2644 13.604 50.6 37.87 18.295 43.1 23.165 92.31 20.38 55.45
48.47 56.96 78.5 110.58 73.1 73.22 30.41 53.69 66.46 245.33 66.02 47.81 38.14 89.45 41.63 31.19 105.3 1393 8106 1918 2720 13.7075 50.84 38.535 18.385 43.805 23.365 94.257 20.55 55.8
48.09 55.15 74.07 109.98 71.66 71.57 30.0835 53.22 66.72 250.85 65.91 47.55 37.99 87.43 41.16 30.76 104.38 1376 8261 1886 2744 13.4955 49.94 38.08 18.385 43.505 23.305 92.62 20.61 56
48.97 56.15 75.11 110.43 72.61 72.38 30.68 53.1 68.08 252.54 66.17 47.79 38.48 87.63 41.56 31.09 106.18 1351 8548 1926 2732 13.89 52.09 38.105 17.705 43.625 23.265 92.6 20.41 56.82
48.71 56.71 75.15 109.39 72.45 72.6 30.42 52.85 67.98 252.25 66.1 47.23 38.27 87.64 41.58 31.14 106.22 1353.5 8616 1943 2750 13.6779 52.41 37.2 17.405 42.97 23.18 91.68 20.35 57.93
49.01 57.72 75.8 109.98 72.95 72.42 30.69 53.69 69.35 253.83 66.27 47.27 38.51 88.4 41.94 31.35 107.61 1353.5 8616 1952 2748 13.8949 52.1 37.95 17.405 43.785 23.48 93.445 21.07 58.4
48.74 57.47 75.61 110 72.2 71.84 30.71 52.85 69.09 252.19 65.44 47.5 38.29 87.45 42.43 31.13 106.84 1352.5 8578 1950 2704 14.0132 52.58 37.72 17.405 43.82 23.61 93.84 21.39 57
48.78 56.84 75.97 110.39 76.43 71.78 30.74 52.88 68.17 254.56 65.68 47.34 38.31 86.98 42.27 31.1 107.78 1366 8533 1940 2713 14.1168 53.19 37.6 17.405 44.58 23.82 94.4 21.71 57.63
